,corp_code,corp_name,stock_code
0,01170962,GRT,900290
1,01139266,로스웰,900260
2,01107665,크리스탈신소재,900250
3,00125938,삼보판지,023600
4,01068348,러셀,217500
5,01236286,컬러레이,900310
6,00186939,특수건설,026150
7,01169434,오가닉티코스메틱,900300
8,00133663,세동,053060
9,00132318,성광벤드,014620
10,00267881,보성파워텍,006910
11,00351630,세코닉스,053450
12,00867098,티로보틱스,117730
13,00601191,하나기술,299030
14,00438036,팅크웨어,084730
15,01255652,레이크머티리얼즈,281740
16,00664181,인텔리안테크,189300
17,01058101,라파스,214260
18,01213586,아이디피,332370
19,00552992,진매트릭스,109820
20,00396925,엠로,058970
21,01141942,액트로,290740
22,00447760,미래컴퍼니,049950
23,00118284,동일금속,109860
24,00442145,아바코,083930
25,00411446,큐에스아이,066310
26,01137295,프리시젼바이오,335810
27,00532129,영림원소프트랩,060850
28,01459212,원준,382840
29,00763473,코스메카코리아,241710
30,00442048,아바텍,149950
31,00267979,한일화학,007770
32,00530121,디에스케이,109740
33,00946030,로보티즈,108490
34,00609324,뷰웍스,100120
35,00125488,삼륭물산,014970
36,00260879,카페24,042000
37,00304915,코리아에셋투자증권,190650
38,00362159,웰크론,065950
39,01303029,알비더블유,361570
40,01311286,퀀타매트릭스,317690
41,00561732,아스플로,159010
42,00417167,풍원정밀,371950
43,00631837,안트로젠,065660
44,00367385,효성오앤비,097870
45,00632793,전진바이오팜,110020
46,01407909,원텍,336570
47,01208849,나인테크,267320
48,01135640,이삭엔지니어링,351330
49,01046708,바디텍메드,206640
50,00688358,하이즈항공,221840
51,00599151,SV인베스트먼트,289080
52,00991191,앱클론,174900
53,01301623,비씨엔씨,146320
54,00139685,양지사,030960
55,00975290,에이스토리,241840
56,00867973,서남,294630
57,00828761,레이,228670
58,00170877,진로발효,018120
59,00877819,데이타솔루션,263800
60,00105475,금강철강,053260
61,00529815,오디텍,080520
62,00363486,로체시스템즈,071280
63,00303396,한국컴퓨터,054040
64,00985686,큐브엔터,182360
65,00974927,NEW,160550
66,00899459,레이언스,228850
67,00148595,제일테크노스,038010
68,00258689,JYP Ent.,035900
69,00800145,서진오토모티브,122690
70,00411385,유비쿼스홀딩스,078070
71,00660291,옵티시스,109080
72,01124653,슈프리마,236200
73,00266952,네오위즈홀딩스,042420
74,01170865,네오셈,253590
75,00484682,엘오티베큠,083310
76,00155373,풍강,093380
77,00111193,대양전기공업,108380
78,00490179,플랜티넷,075130
79,01258710,이노메트리,302430
80,00220686,에스피지,058610
81,00429694,파버나인,177830
82,00857727,하림,136480
83,00636656,바이오플러스,099430
84,00476036,에프엔에스테크,083500
85,00157539,KB오토시스,024120
86,00671978,그리티,204020
87,00369170,인터플렉스,051370
88,00530556,예스티,122640
89,00128661,에스에이엠티,031330
90,00641171,인지소프트,100030
91,00223434,에프에스티,036810
92,00864338,웹스,196700
