,corp_code,corp_name,stock_code
0,00435297,맥쿼리인프라,088980
1,00173944,우진,105840
2,00129350,삼화콘덴서공업,001820
3,00303217,우진플라임,049800
4,01036446,서연이화,200880
5,00112970,대한방직,001070
6,00129554,갤럭시아에스엠,011420
7,00105156,극동유화,014530
8,00146649,일진홀딩스,015860
9,00148443,제일파마홀딩스,002620
10,00148939,조광피혁,004700
11,00166272,화승코퍼레이션,013520
12,00143794,원림,005820
13,00118965,티에이치엔,019180
14,01394377,이지스밸류플러스리츠,334890
15,00118008,동원금속,018500
16,00132354,쿠쿠홀딩스,192400
17,00159254,한국전자홀딩스,006200
18,00168401,금비,008870
19,00648721,SNT에너지,100840
20,01532603,화승알앤에이,378850
21,01415892,제이알글로벌리츠,348950
22,00111458,대영포장,014160
23,00218575,황금에스티,032560
24,00134316,세원정공,021820
25,00103042,케이씨티시,009070
26,01267684,쿠쿠홈시스,284740
27,00122348,방림,003610
28,00147222,전방,000950
29,00145464,이구산업,025820
30,00109161,태경케미컬,006890
31,00101628,경방,000050
32,00823429,한국화장품,123690
33,00174004,유성기업,002920
34,00123107,보락,002760
35,00220561,광주신세계,037710
36,00165343,혜인,003010
37,00101220,KG케미칼,001390
38,00152686,코리아써키트,007810
39,00162993,한일홀딩스,003300
40,00332927,제이에스코퍼레이션,194370
41,00398792,SNT모티브,064960
42,00148920,조광페인트,004910
43,01437292,미래에셋맵스리츠,357250
44,00136864,신원,009270
45,00137809,SHD,001770
46,00136457,SH에너지화학,002360
47,00146269,일신방직,003200
48,00130091,샘표,007540
49,00138729,아세아제지,002310
50,00153126,크라운해태홀딩스,005740
51,00860332,메리츠금융지주,138040
52,00138297,STX,011810
53,00105952,LS,006260
54,00160621,한국화장품제조,003350
55,00539274,대상홀딩스,084690
56,01180118,코람코더원리츠,417310
57,00108977,대구백화점,006370
58,00148522,퍼스텍,010820
59,00134963,송원산업,004430
60,00148948,조비,001550
61,00124151,부산주공,005030
62,00157070,한국단자공업,025540
63,01032486,두산밥캣,241560
64,01535150,SK리츠,395400
65,00117577,오리온홀딩스,001800
66,00153755,태양금속공업,004100
67,00132804,성신양회,004980
68,01437186,ESR켄달스퀘어리츠,365550
69,00143262,우진아이엔에스,010400
70,00114093,덕성,004830
71,00990165,아세아시멘트,183190
72,00165680,호텔신라,008770
73,00684714,풍산,103140
74,00126371,삼성전기,009150
75,00593032,LF,093050
76,00133511,SG세계물산,004060
77,00414601,유니퀘스트,077500
78,00416654,유엔젤,072130
79,00102140,경인전자,009140
